iter	Passed	Remaining
401	17136	25491
402	17223	25515
403	17313	25542
404	17436	25616
405	17538	25660
406	17607	25654
407	17671	25641
408	17749	25648
409	17814	25634
410	17896	25646
411	17994	25681
412	18051	25657
413	18109	25632
414	18159	25598
415	18213	25568
416	18272	25547
417	18329	25520
418	18384	25492
419	18436	25460
420	18487	25425
421	18536	25389
422	18592	25361
423	18643	25326
424	18691	25288
425	18735	25244
426	18782	25204
427	18828	25163
428	18878	25126
429	18923	25084
430	18969	25043
431	19008	24992
432	19049	24944
433	19088	24894
434	19130	24847
435	19167	24794
436	19206	24743
437	19245	24693
438	19285	24644
439	19323	24593
440	19360	24541
441	19399	24490
442	19443	24447
443	19482	24396
444	19523	24349
445	19562	24299
446	19599	24246
447	19636	24195
448	19676	24146
449	19713	24094
450	19750	24041
451	19789	23992
452	19830	23945
453	19869	23895
454	19918	23858
455	19960	23812
456	20004	23769
457	20045	23721
458	20086	23675
459	20128	23629
460	20165	23576
461	20210	23535
462	20254	23491
463	20297	23446
464	20338	23400
465	20379	23353
466	20420	23306
467	20463	23262
468	20503	23213
469	20541	23163
470	20581	23115
471	20616	23062
472	20652	23010
473	20690	22960
474	20726	22908
475	20763	22857
476	20804	22810
477	20843	22762
478	20882	22713
479	20916	22659
480	20950	22606
481	20988	22555
482	21024	22504
483	21062	22455
484	21099	22404
485	21139	22357
486	21178	22309
487	21216	22260
488	21254	22210
489	21293	22162
490	21331	22113
491	21369	22064
492	21412	22020
493	21447	21968
494	21484	21918
495	21522	21869
496	21558	21818
497	21593	21767
498	21631	21717
499	21667	21667
500	21704	21618
501	21743	21570
502	21778	21519
503	21813	21466
504	21850	21417
505	21888	21369
506	21927	21322
507	21962	21271
508	21997	21219
509	22035	21170
510	22073	21123
511	22115	21079
512	22150	21027
513	22186	20978
514	22223	20928
515	22259	20879
516	22300	20834
517	22344	20791
518	22387	20748
519	22427	20701
520	22471	20660
521	22508	20611
522	22545	20562
523	22586	20517
524	22624	20470
525	22664	20423
526	22702	20376
527	22738	20326
528	22776	20279
529	22817	20234
530	22855	20186
531	22893	20139
532	22933	20093
533	22975	20049
534	23017	20005
535	23059	19961
536	23100	19916
537	23165	19893
538	23207	19849
539	23245	19801
540	23282	19753
541	23321	19707
542	23359	19659
543	23399	19614
544	23436	19566
545	23472	19517
546	23508	19468
547	23543	19418
548	23577	19368
549	23613	19320
550	23651	19272
551	23688	19225
552	23722	19175
553	23757	19126
554	23794	19078
555	23834	19033
556	23873	18987
557	23910	18940
558	23947	18892
559	23984	18845
560	24024	18799
561	24070	18759
562	24112	18716
563	24153	18671
564	24194	18627
565	24232	18580
566	24272	18536
567	24312	18490
568	24353	18446
569	24397	18405
570	24447	18367
571	24506	18337
572	24567	18307
573	24627	18277
574	24701	18257
575	24782	18242
576	24849	18217
577	24914	18190
578	24980	18163
579	25027	18123
580	25066	18077
581	25105	18031
582	25144	17984
583	25185	17940
584	25223	17893
585	25263	17847
586	25303	17803
587	25350	17762
588	25398	17722
589	25442	17680
590	25485	17637
591	25526	17592
592	25564	17545
593	25601	17498
594	25640	17452
595	25680	17407
596	25723	17364
597	25768	17322
598	25821	17286
599	25885	17256
600	25946	17225
601	26002	17190
602	26062	17158
603	26117	17123
604	26188	17098
605	26259	17073
606	26320	17041
607	26384	17011
608	26445	16979
609	26504	16945
610	26565	16913
611	26627	16881
612	26678	16842
613	26726	16801
614	26765	16755
615	26804	16709
616	26844	16663
617	26885	16618
618	26925	16572
619	26965	16526
620	27005	16481
621	27043	16434
622	27081	16387
623	27119	16341
624	27159	16295
625	27202	16251
626	27246	16208
627	27289	16164
628	27334	16122
629	27379	16080
630	27420	16035
631	27460	15989
632	27501	15944
633	27546	15902
634	27597	15863
635	27661	15831
636	27714	15793
637	27769	15756
638	27828	15721
639	27887	15686
640	27945	15651
641	28007	15618
642	28052	15574
643	28095	15531
644	28139	15487
645	28179	15442
646	28219	15396
647	28257	15349
648	28295	15302
649	28339	15259
650	28398	15224
651	28436	15177
652	28474	15131
653	28518	15087
654	28555	15040
655	28592	14993
656	28631	14947
657	28673	14903
658	28724	14863
659	28777	14824
660	28829	14785
661	28880	14745
662	28921	14700
663	28959	14654
664	29012	14615
665	29063	14575
666	29105	14531
667	29144	14485
668	29186	14440
669	29226	14395
670	29267	14350
671	29307	14304
672	29346	14259
673	29389	14215
674	29425	14167
675	29464	14121
676	29501	14075
677	29545	14031
678	29589	13988
679	29635	13945
680	29678	13902
681	29721	13858
682	29762	13813
683	29803	13768
684	29843	13723
685	29886	13679
686	29925	13634
687	29963	13588
688	30002	13542
689	30043	13497
690	30088	13454
691	30130	13410
692	30171	13366
693	30209	13319
694	30247	13274
695	30288	13229
696	30331	13185
697	30374	13142
698	30417	13098
699	30457	13053
700	30494	13006
701	30532	12961
702	30570	12915
703	30608	12869
704	30651	12825
705	30691	12780
706	30733	12736
707	30772	12691
708	30809	12645
709	30850	12600
710	30888	12555
711	30926	12509
712	30968	12465
713	31010	12421
714	31054	12378
715	31097	12334
716	31135	12289
717	31174	12243
718	31211	12197
719	31246	12151
720	31285	12106
721	31322	12060
722	31362	12015
723	31402	11971
724	31446	11928
725	31496	11887
726	31545	11845
727	31590	11803
728	31637	11761
729	31672	11714
730	31714	11670
731	31752	11625
732	31790	11579
733	31830	11535
734	31870	11490
735	31919	11449
736	31968	11407
737	32016	11366
738	32057	11322
739	32102	11279
740	32141	11234
741	32179	11189
742	32217	11143
743	32259	11100
744	32298	11055
745	32336	11010
746	32376	10965
747	32416	10921
748	32455	10876
749	32497	10832
750	32540	10789
751	32578	10743
752	32616	10698
753	32653	10653
754	32691	10608
755	32739	10566
756	32779	10522
757	32821	10478
758	32867	10436
759	32905	10391
760	32946	10347
761	32993	10305
762	33038	10262
763	33083	10219
764	33127	10176
765	33173	10134
766	33221	10092
767	33267	10049
768	33318	10008
769	33365	9966
770	33413	9924
771	33454	9880
772	33507	9839
773	33552	9796
774	33609	9757
775	33650	9713
776	33690	9669
777	33729	9624
778	33775	9582
779	33819	9538
780	33863	9495
781	33904	9451
782	33943	9407
783	33983	9362
784	34036	9322
